"","id","condition","strategy"
"76",77,"ll","I always kept in mind how many turns I had left and started by fusing items. If I hadnt found a new crystal I started extracting to make sure I could at least get the minimum amount of points."
"77",78,"ll","I tried to find a new crystal or two using less than half of the button presses. Once I did I used the remaining presses to extract the crystal with the highest energy."
"78",79,"hl","More points were gained by not fusing.  It was better to just extract."
"79",80,"hl","Combo biggest ones together until 4 energy left after which i sell."
"80",81,"hh","I would get to half way experimenting and then just extract if the amount was high enough"
"81",82,"hl","Get a crystal with the highest value then extract for the last 4 goes"
"82",83,"ll","I tried to fuse a few times to see if I could get any fused crystals going. If so I tried to push that crystal further until I hit a block (failed attempt). After a few failed attempts I cashed in the highest energy points I could get. "
"83",84,"ll","Aim to find a combination as early as possible if 750p was found then use it until turns run out if not then try find higher points."
"84",85,"hl","making the biggest combination"
"85",86,"lh","Getting one fusion near the start resulted in many more points"
"86",87,"lh","Gamble near the start then cut losses if not lucky"
"87",88,"hl","I tried to extract from at least one crystal first then I tried to create pairings and extract again to maximize the number of points."
"88",89,"hl","tried to fuse until i could get the highest amount and when 5 attempts left to extract the highest crystal"
"89",90,"hh","fuse the highest together until the end and bank the highest number"
"90",91,"ll","tried to find a fuse extract fuse to more points"
"91",92,"hl","To keep adding the highest ones together"
"92",93,"ll","Random selection"
"93",94,"hl","I tried to just find combinations that were repeatable. I wasnt 100 sure if certain combinations mattered other than choosing the highest amount + one but I stuck with what I thought worked if I found that it did."
"94",95,"hh","fusing a and b. Then fusing b to the outcome of every fusion after that."
"95",96,"ll","I dont have a strategy I leave it to chance and luck"
"96",97,"hh","Try different numbers in order to maximise the number then combine two bigger numbers."
"97",98,"lh","I tried finding most exp combinations first. If I can not make it I just extract all the maximum points I had"
"98",99,"lh","Trying a few combinations in attempt to get a successful fusion however if after most tries no success I extracted singular letters. "
"99",100,"ll","Always extract as the fuse percentage was too low"
"100",101,"lh","I tried up to 4 combinations of two letters each time to try and fuse them and if I didnt get any fusions within 4 tries I then extracted points from what I had. "
"101",102,"hh","Just kept trying to fuse until I had one last extraction opportunity."
"102",103,"ll","I initially focused on fusing but then decided I would get more points out of releasing the energy. After the first two games I tried fusing up to three times before using remaining tries to release energy from the crystal with most energy each time."
"103",104,"ll","I spent the first 5 points minimum trying to establish better crystals before just getting some extract from what I had"
"104",105,"hl","Trial and error."
"105",106,"lh","Maximise the number of new crystals in the first five button presses."
"106",107,"hh","I would pick two letters at random and fuse and if that resulted in a bigger crystal fused that again (so picked the new one twice) and kept going until nothing came out. If it continued to fuse I kept going. If it eventually resulted in nothing coming out I tried a combination of the biggest crystal I had fused with either the single letters or one of the smaller crystals that had resulted from previous fusion."
"107",108,"ll","I first tried to fuse as many as possible until I had around 5 attempts left then I would either attempt to fuse the higher amounts for a couple of attempts or extract those."
"108",109,"hl","Keep combining the highest one with another one until I only had a few clicks left then extract."
"109",110,"ll","Just tried to fuse until I have for turns left."
"110",111,"hl","one I built up a fused crystal tried to fuse this again i.e ac and ac then acac and acac"
"111",112,"ll","trying to get the highest score but not taking too many chances before just taken the best points i could get"
"112",113,"ll","keep count how many times ive tried when its getting close to ten extract. "
"113",114,"ll","trial and error no real strategy was used."
"114",115,"hh","I firstly chose the crystals at random but remembered which ones i chose to fuse. If it was successful I kept one of the original crystals and selected the fused crystal to fuse again. I just kept working my way along using the highest fused crystal each time. If it failed I moved to the second original crystal to pair with the highest fusion."
"115",116,"hh","Later in the game i realised it was better to keep fusing the same two to reach higher XP quicker. At the start I thought I had to fuse two different ones for some reason. "
"116",117,"ll","Mix of risk vs reward always try fusion but never try and walk away with less than 2000pts guaranteed"
"117",118,"lh","try a bit to fuse at first but not too much or i wont get any points"
"118",119,"lh","Looked for patterns in terms of finding combos "
"119",120,"ll","At first I was hoping to get lucky on some combos.  By the end since Id not come close to beating the guaranteed 5000 points by just using a single token I just switched to those."
"120",121,"hh","I felt like it took me 7 tries before I started to narrow down strategies but I started by fusing single crystals into a pair then fused pairs in the hope of making a new crystal worth 27 points. I didnt get much further than that."
"121",122,"hl","I wanted to increase the multiplier as high as I could and use the last 4 or so attempts to extract. When I found a combination that worked I usually fused it with one of the two crystals I already used(eg ab with a or b) and then fused the new larger crystals with one of those 2 base crystals and repeated that until I had 3 or 4 attempts to extract. "
"122",123,"hl","Extract a few to get some points then try combinations then extract from new crystals for more points."
"123",124,"ll","I played with fusion up until the 5 selection then decided to bank points which was the ultimate aim"
"124",125,"hh","The first few rounds were hit or miss. After that I tried to fuse the larger crystals as often as possible within my ten attempts. Sometimes it worked and sometimes it didnt. I didnt identify a pattern - Im not sure there was one."
"125",126,"hh","Keep fusing until 4 or less tries remaining. Also tried fusing the higher crystals together."
"126",127,"ll","get atleast 3000 minimum"
"127",128,"hh","Fuse till you have 2-3 clicks left"
"128",129,"hh","First I tried to fuse new crystals with the crystals provided  and from there Ive fused those new crystals with themselves which generated crystals with higher values. "
"129",130,"ll","random after the first part"
"130",131,"hl","I randomly paired up the single abc crystals and combined doubles of these. I combined the largest and second largest ones together until I only had one click left then I would extract."
"131",132,"hl","Fusion chance was high so I would fuse til I would get 1000+ then extract the remaining."
"132",133,"hl","fuse until 2 dailures then extravt as normal"
"133",134,"ll","try double letters initially. if i couldnt find a combo id just stick a few single letters in to extract."
"134",135,"ll","try fusing for 50 of tries then extract"
"135",136,"ll","Tried to find a combination and once found extracted as many times as possible. If no combination found within 4 or 5 moves then extracted to maximise number of moves remaining"
"136",137,"hh","sequence"
"137",138,"ll","try one fuse otherwise stick to single extractions"
"138",139,"hh","I wanted to get a quick fuse or two to find the higher price the better and then get in as many as those as quickly as possible."
"139",140,"hl","Trial and error of different methods "
"140",141,"ll","Trying different combinations."
"141",142,"hh","fusing"
"142",143,"hl","Get a decent size fuse and then just keep extracting it."
"143",144,"hl","I tried to balance the number of extractions with the number of fusions to give higher energy"
"144",145,"hh","to maximise the earning by fusing as much as possible before extracting"
"145",146,"lh","Tried to fuse and then find a second fuse "
"146",147,"ll","I would spend the first 4 turns trying to make fusions. The last 3 would be spent extracting my highest value crystal."
"147",148,"ll","I would try no more than 5 fuse combinations before extracting crystals. If I found a fuse combination Id exclusively extract that crystal to maximise my points."
"148",149,"hl","Maximise the points available from an individual crystal before extracting. The extract each crystal in order of value in turn."
"149",150,"ll","Dont fuse the crystals in order to negate the risk of not gaining points"
"150",151,"ll","Originally I decided to forget about fusing but now realise it might have been better to find a fuse and keep extracting it"
"151",152,"ll","I fused early. If I got lucky and got an early fuse success I kept fusing. By about halfway I would look to extract. Only once did I keep fusing till n ear the end and try every combination. There were no further paths to success and this was the worst round."
"152",153,"ll","try to get a fuse and extract the fuses"
"153",154,"ll","Try to find workable fusion crystals first and then maximise them by fusing them again"
"154",155,"ll","try a few fuses to begin after a few attempts cut losses and take the 500 p "
"155",156,"ll","Tried to get a fusion quickly then farm it. "
"156",157,"hl","Just trying to optimize the fuse option as much as I could"
"157",158,"hh","Fuse the two highest numbers if that didnt work tried to fuse the highest with the third highest etc.. until I got to 9 then Id extract top one"
"158",159,"ll","Random"
"159",160,"hh","I was taking risks with all the highest value crystals as that was the only way to guarantee higher points"
"160",161,"lh","I didnt realise you could extract multiple times. If I had I would have played until I could find a fuse and just extracted from this till the end"
"161",162,"lh","just guessed at it"
"162",163,"hl","I experimented with fusion as much as possible before extracting"
"163",164,"ll","Followed a pattern of ae be cd to start then towards the end just did random"
"164",165,"ll","try a few different varieties until I decide to cash out as much as I can the simple way."
"165",166,"ll","if i fused i used that to try and get more points"
"166",167,"lh","just taking a chance "
"167",168,"ll","I didnt think the fusion chance was worth it - felt like it would more likely lose me points."
"168",169,"lh","Trying to fuse early and then get the most points"
"169",170,"hl","I tried to fuse the crystals to get more energy."
"170",171,"lh","It was trial and error"
"171",172,"lh","Tried to see if fusion had any benefit in the amount per round in the earlier rounds then just stuck with the guaranteed amount as fusion did not occur frequent enough"
"172",173,"hh","Fuse higher valued crystals as much as possible while being mindful of number of attempts left. Extracting highest value crystals when running out of attempts."
"173",174,"ll","trying the fuse for a while until abandoning ship and just extracting as much as possible."
"174",175,"ll","try and remember which combination worked although that was fairly unsuccessful. towards the end just extract rather than fuse"
"175",176,"hl","If fuse failed within a couple of steps bank if fused then build up value."
"176",177,"hl","I tried to get the highest fused crystal in the least amount of tries"
"177",178,"lh","I just thought to never fuse and just collect the known points."
"178",179,"ll","Try to get some fusion. I was looking for patterns but couldnt find any"
"179",180,"hh","Try fusing A with each new crystal. If A didnt work then use the B crystal. "
"180",181,"lh","I always tried to maximize the points by fusing the crystals"
"181",182,"ll","I did not use a specific strategy. I just selected the the option that had the highest probability of gaining the most energy points"
"182",183,"hh","Find as many new combination as possible and if there were no new fusions just pick the highest extraction for that round "
"183",184,"hl","Always start from left to right. First a than ab ac ad and so on"
"184",185,"ll","grab as many points as poss at the start then start to fuse"
"185",186,"ll","Try right to left then left to right."
"186",187,"hh","Find two energy that fuse all the time and then another combo and different energy that fuse. Then I would try and combine both the two new energy together to make another new energy. Finally use that energy with another until I found the fuse worked and then use that energy to collect the remaining 5 times which I did then for the rest of the rounds the same."
"187",188,"ll","i just guessed"
"188",189,"hl","Get a triple fusion and extract as many times as possible"
"189",190,"hl","To get to a large crystal in the shortest amount of moves then extract every time after."
"190",191,"hl","There was no strategy just fuse together and collect what you can. "
"191",192,"hh","I used the same basic method of fusing with most of the machines"
"192",193,"hh","Try and combine up to about 8 rounds then extract"
"193",194,"hl","find the best combinations to fuse"
"194",195,"hh","NONE"
"195",196,"hh","triy to find combinations for higher payments"
"196",197,"lh","Wanted to make sure I scored some points but did try to fuse a few times"
"197",198,"hl","try to get high fused crystals to maximise bonus"
"198",199,"hh","Kept trying to multiply the points because there was a good chance (80) that it would be successful then cash in on the last two or three rounds."
"199",200,"hh","I WOULD LOOK AT PLACING THE BIGGER NUMBERS TOGETHER. I WOULD ALSO USE A+C B+D AT THE BEGINNING ETC"
"200",201,"ll","After a while I worked out the probability wasnt worth it and instead decided to just try and extract from the 500 point crystals to maximise profits."
"201",202,"lh","I didnt really have any strategies.  I just tried to fuse and if it didnt work then I just extracted what I could if it did then I extracted the bigger amount each time."
"202",203,"hh","Combining the already combined crystals until I found a crystal that was of the largest value possible and then extracting that."
"203",204,"hl","trying each one to get higher reward"
"204",205,"ll","At first I decided to try and go for successful fuses as I realised doing so would create a crystal that rewarded me more. However I consistently failed to do this so later on I just extracted from the crystals I had which led to a higher reward."
"205",206,"lh","Tried to reach as high as number as possible by fusing before extracting"
"206",207,"lh","see if fusing works if not take points"
"207",208,"hh","The strategies is to make sure you understand the instruction fuse points together and extract so that you can gain more"
"208",209,"lh","used a series of combinations to fuse together  "
"209",210,"hh","Make a fusion with the largest alien crystal to try to maximise the points"
"210",211,"ll","i tried to guess"
