"","id","condition","age","sex","total_score","engagement","difficulty","strategy","impression","feedback","date","time","task_duration","intruction","start_time"
"23",25,"expert-high",30,"male",23984,10,2,"To achieve the maximum value from each round it is necessary to create either a 1713 value gem or a 2570 value gem and extract them 3 or 2 times respectively. With that in mind I felt comfortable fusing until I reached either of those numbers and then extracting.","About as often as advertised: 80.","Its a fun math problem please keep me in mind for any future experiments you run.","2024_07_03","09_58_05",531583,1,1719924493284
"24",26,"novice-high",21,"female",0,5,5,"Tried to match a vowel and a consonant together or immediately into alphabetical order.","Not very often. They are an enigma.","I have autism. This could be why I totally bombed this LOL. I was just WAITING for the point thered be a square (2) fusion I wanted to see it so bad LOL. Also the yellow and green one was really really unpleasant. I wanted to get that particular part over with QUICK.","2024_07_03","09_58_44",807496,1,1719924256362
"25",27,"novice-high",28,"male",3500,5,3,"Try to get combo early and if doesnt work just get minimum extract points","Seemingly less often as the game went on","No","2024_07_03","23_58_51",437598,1,1719924633049
"26",28,"expert-high",40,"female",7926,10,5,"Just trying to make the highest number but then extract the points before it was too late","about 90 of the time","","2024_07_03","14_59_19",571013,1,1719924527940
"27",29,"novice-high",63,"male",4600,5,0,"Usually go for the best odds","Half or less","I guess risk tolerance?","2024_07_03","15_59_34",481281,1,1719924632511
"28",30,"expert-high",22,"female",19413,9,3,"I wanted to build up as many points in one type of crystal for the first 7 clicks and then use the last 3 to extract the points.","more often than 810 maybe 910","no","2024_07_03","15_59_46",478543,1,1719924646649
"29",31,"expert-high",28,"female",12038,7,5,"Testing the highest numbers together","80 of the ones recommended perhaps 20 overall","It got easier once Id had a few plays","2024_07_03","14_59_51",671794,2,1719924458813
"30",32,"expert-high",40,"male",12746,10,6,"try to combine new crystals to get even larger crystals. Use at least the last 3 to extract","quite a lot when using the hints","","2024_07_03","14_60_02",472259,2,1719924668775
"31",33,"expert-high",27,"female",12760,10,3,"Fuse together two shapes with the highest probability then take the resulting fusion and fuse it together with another one of the shapes. Once I got a fusion with a high XP amount I extracted it as many times as I could.","The fusions worked almost all of the time when doing the fusions that had the highest probability.","No additional comments","2024_07_03","09_60_10",414141,1,1719924735500
"32",34,"novice-high",23,"female",4025,10,3,"Try to use same shapes to fuse","Not often at all. hard to identify pattern","","2024_07_03","14_60_15",367902,2,1719924786152
"33",35,"novice-high",49,"male",4300,8,6,"fuse early in the round","less than 50","no","2024_07_03","08_60_43",422730,4,1719924759839
"34",36,"novice-high",27,"other",5325,5,7,"keep trying to get a level 3 fusion as long as their are four turns left","Theyre the best way to get points and the first two levels are most reliable for this","It can be frustrating when you dont get any fusions","2024_07_04","02_01_28",581253,1,1719924645942
"35",37,"novice-high",30,"female",2775,7,8,"When it was about maximizing fusions I tried many fusions but when it was about maximizing points I gave up when the fusions were not working","15-20 of the time","","2024_07_03","10_01_35",343249,2,1719924890860
"36",38,"expert-high",57,"female",5370,9,7,"1) Working only with the suggested combinations. 2) Building a few large fused combinations. 3) Extracting one or more of the biggest fuses. I switched to three or four extractions as the game progressed","70?","I wish I had an opportunity to do the math between the game. Several times it appear to be better if I just went straight to all extractions from the base inputs rather than messing around with the fuses.","2024_07_03","10_02_07",567336,2,1719924699542
"37",39,"novice-high",33,"other",5030,8,2,"a few attempts to fuse together some crystals mostly at random. Once I had three crystals together then I fused it with itself and used my remaining actions to extract. Some times I didnt get any fusions to work so I just used the remaining 4 actions to extract. ","about 40 of the time","Not really. ","2024_07_03","10_02_08",416171,1,1719924851092
"38",40,"novice-high",30,"female",5579,7,4,"Try to get higher points by fusing but then just extract the 100s if fusing doesnt work so at least I get some points","Its hard to tell - initial fusions maybe 20 of the time but second third and fourth fusions much more frequently","No comment","2024_07_03","16_02_08",476238,3,1719924791300
"39",41,"novice-high",20,"male",5850,10,1,"try and find a 150pt combo within 3 to 4 fuses then extract that combo. if the 150pt crystal is found in 1 to 2 fuses then Ill fuse 1 to 2 more times to try for the 225 combo. This averages around 1000pts each time and is the same as just extracting a 100pt crystal 10 times","about every 3 or so fusions","","2024_07_03","22_03_24",381658,2,1719924961500
"40",42,"expert-high",34,"female",6600,8,3,"Using the crystals that had a higher chance of fusing. Trying to fuse as many times before cashing out. ","710","","2024_07_03","15_03_28",567029,2,1719924780964
"41",43,"novice-high",25,"female",2676,3,0,"Just do 5 tries to fuse sand if none came out then to just extract 5 ","may 15","no","2024_07_03","15_03_42",241564,2,1719925119758
"42",44,"expert-high",40,"female",5850,9,0,"try and get a high combination and if it fails keep clicking to get one consistent number each time","20 of time","","2024_07_03","15_03_56",353788,1,1719925022016
"43",45,"expert-high",33,"male",6150,10,7,"Use the first 3 button presses to fuse crystals and then extract the highest points to maximise points in the remaining presses. ","about 80 of the time on the first fusion level. Fusing new crystals less often","no","2024_07_03","16_04_02",495749,1,1719924885530
"44",46,"novice-high",25,"female",2850,8,7,"Guesses","Not sure","No","2024_07_04","02_04_08",396224,2,1719924991363
"45",47,"novice-high",40,"male",4310,5,3,"Try and get a high crystal and then extract often","about 30","None","2024_07_03","10_04_11",295762,3,1719925095109
"46",48,"expert-high",37,"male",9129,8,2,"follow the hint and hope for the best","70","none","2024_07_03","23_04_11",436981,1,1719924954015
"47",49,"novice-high",53,"male",3663,8,2,"After trying to fuse I found that to score points you might as well not try to fuse at all. The fusion rate is far too low.","They dont the rate is far too low to bother.","","2024_07_03","10_04_15",317671,1,1719925076577
"48",50,"expert-high",29,"female",11064,9,5,"Try and get to as high as I can and then use the last 3 to extract to get points","Often if you follow the instructions at the top","na","2024_07_03","15_04_19",385734,1,1719925013163
"49",51,"novice-high",25,"female",2425,5,5,"Not enough turns to find a good one","Tricky to find","no","2024_07_03","09_05_23",594668,8,1719924867831
"50",52,"novice-high",43,"male",5808,10,2,"to try to find a random growth once i have one i would try and grow that to an optimal size until a few turns left to try and extract points","I could not detect a pattern but i felt fusions on already fused crystals seems more likley with themselves","Nothing I can think of","2024_07_03","15_04_35",366989,1,1719925047232
"51",53,"novice-high",19,"other",4150,9,6,"Attempt fusions until there are about 4-5 turns left then extract the highest value.","I dont think they are worth it as it can take 3-5 turns before one is even achieved.","","2024_07_03","15_04_41",435161,4,1719924985025
"52",54,"expert-high",27,"female",9041,10,3,"Keep adding crystals together until I had one move left to extract a large number.","More often than not.","","2024_07_03","10_05_01",595690,1,1719924844327
"53",55,"novice-high",20,"male",4060,8,4,"To try to get one to fuse and extract as much as possible.","About 2 out of 5.","","2024_07_03","10_05_19",495297,3,1719924963150
"54",56,"novice-high",19,"female",2713,8,8,"No strategies by the end tried random combinations in the hopes that theyd work","Rarely!","","2024_07_03","24_05_59",403733,4,1719925094300
"55",57,"expert-high",28,"male",6281,6,3,"taking advantage of the 80 percentile fusions and just trying different combinations","80 and 20 depending on what is done","","2024_07_03","10_06_14",518947,1,1719924994719
"56",58,"novice-high",39,"male",4000,9,7,"Try to find combinations that fused and try to get at least two fuses by 4-5 turns left.","14","","2024_07_03","10_06_19",441534,2,1719925077323
"57",59,"expert-high",23,"female",17129,9,4,"I would always follow the pattern that works 8 out of 10 times.","Approximately 8 out of 10 times seemed to be pretty accurate. ","No","2024_07_03","10_07_28",515404,2,1719925072214
"58",60,"expert-high",23,"male",7150,6,4,"Use first 2-4 goes on finding fusions otherwise extract the highest found so far.","Similarly to stated although its not noticeable as often trying to fuse the next shapes together","","2024_07_03","15_07_28",339345,6,1719925247737
"59",61,"novice-high",32,"male",3025,6,7,"Trying to remember combinations","mostly","Needed more reward or trials to experiment more","2024_07_03","24_07_29",527286,5,1719925060994
"60",62,"novice-high",41,"female",5778,10,8,"None usually","Even amount","Nope","2024_07_03","15_07_29",455556,2,1719925133163
"61",63,"novice-high",47,"female",3476,8,7,"to try and fuse on first four or five attempts and after that give up and just extract for 100","not very! ","","2024_07_03","15_07_46",337442,1,1719925268311
"62",64,"novice-high",27,"female",2175,10,8,"I tried maximizing my points by fusing a lot and then extracting","Very rarely i tried different combinations","","2024_07_03","16_07_41",545464,2,1719925055331
"63",65,"novice-high",24,"female",5217,7,6,"I tried to combine them following the order of the alphabet and the shape to some degree.I also would combine the same letter and shape to make a stronger double version.","Some of the combinations were very easy but other rounds felt like nothing fused.","It was interesting! However this quiz to check understanding was a bit labourious as I fully understood the game but I kept having to redo the quiz as the wording could be easily misinterpreted.","2024_07_03","23_07_58",467450,4,1719925149917
"64",66,"novice-high",27,"male",3700,7,5,"Attempt fusion for initial 5 attempts and then simply analyse 100p crystals if no fusion works","Very rarely ","Not particularly after a number of attempts it becomes clear that the best way to earn xp is to simply analyse 10 crystals and not fuse ","2024_07_03","15_08_02",432621,1,1719925189011
"65",67,"novice-high",27,"male",7645,10,5,"I tried to fuse crystals early in each round and then once I reached a level that I was satisfied with I began harvesting them","It seems to be random and is probably fixed to a certain rate of success (e.g. 50 of the time they work but which fusions work and which dont is randomized)","Nope","2024_07_03","16_08_38",525450,3,1719925132523
"66",68,"novice-high",31,"female",4153,9,7,"Find one fusion and fuse it with itself where possible","30","","2024_07_03","15_09_40",355853,1,1719925363524
"67",69,"novice-high",37,"female",2150,8,3,"I tried to use combinations that I know have worked before. ","Very rarely. ","I enjoyed it. ","2024_07_03","15_09_42",595754,1,1719925125957
"68",70,"novice-high",21,"female",3052,8,6,"match the same letters","once in every 45 attempts ","","2024_07_03","15_09_46",379480,3,1719925345850
"69",71,"expert-high",33,"female",13807,6,2,"In order to extract the most amount of points I tried to used the first 5 turns to fuse the biggest xp crystal possible and then use the last 5 turns to extract that created crystal. ","80 of the time ","","2024_07_03","23_09_52",553410,4,1719925177679
"70",72,"expert-high",65,"female",3600,9,5,"I tried out the fusion shapes that gave the highest results apparently it was 8 out of 10....it didnt work for me so I hit on the highest to extract and get some points.","the fusions were rubbish....I assume it was all a con....it was a lie.","Good job Im not gambling.....I trusted you....you lied.","2024_07_03","15_10_02",702253,1,1719925039064
"71",73,"expert-high",24,"male",11850,9,5,"Fuse as much as possible","more frequently than 810","no","2024_07_03","15_10_02",334137,2,1719925407562
"72",74,"expert-high",26,"male",14857,10,4,"use around half my clicks to fuse shapes to make one worth many points and use the other half of my clicks to extract those points.","Most of the time.","","2024_07_03","15_10_05",477445,1,1719925266779
"73",75,"novice-high",24,"male",2313,10,5,"trying to fuse in the first few moves then extract","quite rarely","","2024_07_03","16_10_10",308909,4,1719925440187
"74",76,"novice-high",20,"male",3150,5,8,"just guessed","10","","2024_07_03","15_10_21",372579,3,1719925387741
"75",77,"expert-high",43,"female",6600,7,3,"To make one fusion which gave higher points and then use the rest of the button presses for extractions of those higher points","Most of the time","","2024_07_03","15_10_23",570532,1,1719925192333
"76",78,"novice-high",31,"female",4800,8,3,"One fuse and then extract","60","","2024_07_03","15_10_32",402363,1,1719925368962
"77",79,"novice-high",32,"female",3550,9,7,"I tried to fuse a few in a row but was only truly successful once so decided to do a lot more extracting instead","Not very often maybe 1 in 5","","2024_07_03","15_10_37",355939,1,1719925420294
"78",80,"novice-high",43,"male",3325,8,8,"Randomningly selecting crystals until almost out of turns then clicking on the high-value crystals for points","Not well because its random which means no strategy to employ","NA","2024_07_03","09_11_02",471440,2,1719925329980
"79",81,"novice-high",35,"female",4300,7,3,"Try to gain most points","Tried at least once in each round","","2024_07_03","15_11_06",271801,2,1719925533992
"80",82,"expert-high",41,"female",6269,5,0,"Using the 8 of 10 probabilities and then extacting the fused crystals ","9 out of 10 ","","2024_07_03","11_41_16",562144,2,1719925253579
"81",83,"novice-high",40,"female",3200,5,5,"Trying to find the right combination ","30","na","2024_07_03","15_11_19",459186,4,1719925359373
"82",84,"novice-high",29,"male",5325,5,4,"I tried to find a 1.5X point increase within 1 - 4 attempts. If I did then I doubled down with the new fusion if I failed I just used the base crystals to max points","15 - 25 of fusion","","2024_07_03","10_11_34",471841,1,1719925361165
"83",85,"expert-high",30,"male",16744,8,3,"I simply went and fused the first letter of one object with the first letter of the different shaped object that would work 8 out of ten times fusing that crystal with every other letter in the second object until I went through all of them to f. I figured it would be random which combinations work each round anyways so I wasnt worried about memorizing which combinations worked more often since there were only 5 rounds to go off. After fusing 6 times Id have 4 button presses to extract rewards which seemed like a good amount to near maximize my earnings. Im not sure if I should have fused more but I did go through all the letters at least once which seemed like a safe bet.","Im honestly not really sure but from trying it out in the practice rounds I guessed that mixing different letters together (with 2 different shapes) usually resulted in successful fusions. Its possible there were certain combinations that always were successful but I wasnt able to tell.","I enjoyed the experiment. Everything worked fine and didnt have trouble following the instructions.","2024_07_03","10_11_52",833863,1,1719925017357
"84",86,"expert-high",25,"female",3491,9,8,"fuse and then extract","410","","2024_07_03","15_11_51",415563,4,1719925434503
"85",87,"novice-high",29,"female",3325,6,5,"To fuse 2 crystals together and then extract as many times","Rarely","","2024_07_03","15_12_11",380806,6,1719925489894
"86",88,"expert-high",28,"female",3075,9,4,"go by the instructions","810","interesting experiement","2024_07_03","15_12_13",636643,3,1719925235550
"87",89,"expert-high",32,"female",7857,8,1,"I always went with the highest possible outcome. So I always chose the shapes that would work 8 out of 10 times","90 of the time","","2024_07_03","15_12_16",614833,1,1719925260526
"88",90,"expert-high",52,"male",5250,9,3,"Try and make 2 new crystals and see if they fuse if not extract with rest of my turns to get at least some points.","Not often maybe 25","Nothing to add.","2024_07_03","15_12_23",589774,3,1719925292874
"89",91,"expert-high",18,"female",14587,8,2,"Aim for at least 3000 points each time. Fuse crystals with the highest likelihood of finding a new one until I had about 4 turns left then cashed out.","As stated.","I thought fusing crystals had a 5050 chance of becoming either different shape but they always became the same shape.","2024_07_03","24_12_35",907970,1,1719924987015
"90",92,"expert-high",39,"male",6150,6,8,"Try to get a minimum of 1000 points.","Often enough to warrant using a turn. ","Not visually appealing but somewhat interesting none the less. ","2024_07_03","11_12_42",597484,7,1719925304493
"91",93,"expert-high",28,"female",3000,5,8,"Tried to make as many combonations as I could","810 times","","2024_07_03","15_12_54",662042,1,1719925251721
"92",94,"novice-high",44,"male",3550,7,6,"Following a pattern of abc etc for each of the machines. If I didnt think I would make the XP then I extracted what I had.","Some of the time","An example at the start might be an idea. ","2024_07_03","15_12_60",696586,1,1719925222658
"93",95,"novice-high",46,"female",4900,9,5,"trying the same letters to fuse then trying the same shapes and sequential letters then trying to fuse the largest fused items. Then realising that with the trial and error nature it was easier to guarantee a high outcome by sticking to the same letter to extract and ignoring the fusion element that was random","seemed random","good and fun experiment","2024_07_03","15_12_60",497422,1,1719925421993
"94",96,"novice-high",32,"female",5625,10,1,"I tried to fuse a few times in order to get more points but if it failed twice I only extracted.","Id guess around 25","","2024_07_03","15_13_24",347519,2,1719925596437
"95",97,"expert-high",30,"female",11127,10,2,"rely on the likelihood stated for the fusion options. Fuse a few times if successful and extract highest value crystal for remaining tries. If many failed attempts stop fusion and extract. ","80 of the time. ","It was fun. ","2024_07_03","15_13_42",628826,1,1719925332797
"96",98,"novice-high",38,"male",1132,6,7,"Just trying different combinations of shapes.","Not very often.","No","2024_07_03","11_43_47",467319,2,1719925499444
"97",99,"novice-high",29,"female",3500,10,6,"if i dont find a fusion within 5 tries give up and use the sure points","not often enough to make it wwrth using so many turns","","2024_07_03","15_14_21",338096,3,1719925662726
"98",100,"expert-high",30,"female",10176,8,4,"only bother to make fusions with the two shapes expected to work 810 times. then fuse with other larger fusions to maximize energy"," 810 or 210","fun experiment ","2024_07_03","10_14_58",573944,3,1719925463512
"99",101,"expert-high",25,"male",12327,8,6,"Once I made one fusion I tried to get the highest scoring crystal and then at a certain point try to extract that crystal as many times as I could to maximise points. ","I would say 60-80 of the time. ","I enjoyed it and would love to participate in future experiments. ","2024_07_03","15_15_59",635532,1,1719925462664
"100",102,"novice-high",27,"male",4000,10,5,"clicking on the different alphabets to make new crystals. ","if you combine different crystals.","na","2024_07_03","16_15_40",602349,8,1719925477101
"101",103,"expert-high",34,"female",16556,8,1,"merge first then extract","70 of the time","","2024_07_03","10_15_43",381952,3,1719925700633
"102",104,"novice-high",28,"male",3775,5,8,"Randomly choosing pairs to fuse until roughly half way through and then extracting the highest scored crystal.","Roughly 10-20 of the time.","","2024_07_03","15_16_17",317686,1,1719925799016
"103",105,"novice-high",19,"male",2300,5,4,"Go big fuse all the way","15","","2024_07_03","10_15_59",297049,1,1719925801488
"104",106,"novice-high",47,"female",3650,7,5,"extract as many and fuse as many ","40","No","2024_07_03","15_16_15",345185,4,1719925769181
"105",107,"novice-high",42,"male",2288,10,7,"I was trying to identify patterns but found myself distracted by the labels so once I thought I found a pattern I continued. ","Using my method they seemed to work out to be a 16 occurance.","Cool experiment. It was more challenging than I was expecting and got me thinking. Sleepy brain though so I struggled! Fun though and interesting to think about strategies (greedrisk etc). Good luck with your research!","2024_07_03","22_16_44",1009405,1,1719925134586
"106",108,"expert-high",18,"female",7473,7,4,"Get as big a number as possible until I had about 2 moves left and cash out.","Not often.","Nope :)","2024_07_03","15_16_50",553615,1,1719925595568
"107",109,"expert-high",46,"male",6225,10,5,"trying to fuse at beginning then extracting","80","none","2024_07_03","15_16_58",366762,1,1719925790296
"108",110,"novice-high",27,"other",3500,9,6,"I tried to find a fusion really quick if not I just banked as many points as I could","Maybe 14 of the time","","2024_07_03","15_16_58",309022,2,1719925848940
"109",111,"novice-high",45,"male",4375,7,5,"Try to discover new crystals until there are only half of your attempts and then just extract the highest possible for the remaining turns.","25 of the time","No but good luck in whatever youre trying to achieve. ","2024_07_03","24_17_07",328478,2,1719925838036
"110",112,"expert-high",46,"female",3400,5,2,"Fusing until I had only as many turns left as I had fused pieces that I could extract","About 75 of the time","","2024_07_03","10_17_10",649915,1,1719925520025
"111",113,"expert-high",36,"female",13894,10,8,"to get a large crystal to extract","most of the time 80-90","it was fun","2024_07_03","15_17_17",543704,3,1719925632889
"112",114,"expert-high",50,"female",9917,10,8,"Get a high enough point value to earn points","most times","the instructions were difficult to follow in terms of understanding the task","2024_07_03","15_17_28",551157,9,1719925636048
"113",115,"expert-high",26,"female",13267,9,5,"For the first half of attempts I tried to fuse. Then I extracted the highest energy I had available after my fuse attempts. ","More often than not. It felt that the 8 out of 10 label was accurate.","","2024_07_03","15_17_34",443640,2,1719925749842
"114",116,"expert-high",22,"female",4806,9,7,"try to create the greatest fusions. ","75","interesting experiment","2024_07_03","24_17_48",516216,1,1719925691267
"115",117,"novice-high",42,"female",2701,9,2,"I tried to extract fuse the most I could with one move left and then I extracted on the last move","Not as often as I had hoped","No","2024_07_03","15_17_54",390953,4,1719925822454
"116",118,"novice-high",71,"male",4471,9,10,"Just random selection","Not often","Too much effort for too little reward","2024_07_03","15_18_12",709158,3,1719925521869
"117",119,"novice-high",48,"female",2888,10,7,"Trying different letters close together in the alphabet ","not that often ","na","2024_07_03","15_18_23",355967,1,1719925886238
"118",120,"novice-high",26,"female",4156,7,5,"Honestly I did not have one for most of it. But if I did manage to fuse something I tried to fuse that with itself as that would have got me more","310","","2024_07_03","15_18_28",313498,1,1719925934309
"119",121,"novice-high",22,"male",2325,2,8,"Randomness within Shapes Patters with letters combinations","20 of the time","Bonus payout is awful.","2024_07_03","15_18_37",332057,3,1719925924454
"120",122,"novice-high",24,"female",5678,8,8,"To test combinations using some of the clicks and if they do not work out then try to maximise points.","Around 30 of the time.","The instructions were very difficult to understand and made the game seem much more complicated than it was.","2024_07_03","15_18_43",378343,5,1719925884626
"121",123,"novice-high",22,"male",2850,10,4,"First trying to make as many combos as possible and if this didnt work then simply extracting at least 6 100 points. So first 4 tries were combo making and last 6 extractions.","Not very often at all.","Very fun and engaging!","2024_07_03","15_18_46",343883,1,1719925921378
"122",124,"novice-high",25,"male",3300,8,10,"Mostly guessing","Not great for me. ","none","2024_07_03","24_19_12",264076,4,1719926027157
"123",125,"novice-high",36,"male",4952,7,6,"nk ","It worked out most of the time ","No","2024_07_03","15_19_29",550039,3,1719925758139
"124",126,"expert-high",21,"female",11917,10,7,"trial and error","most the time","","2024_07_03","15_19_49",381039,2,1719925947142
"125",127,"expert-high",32,"female",9068,10,5,"Create the highest number you can without using all your chances then extract as many times as possible. ","50-50","","2024_07_03","15_19_55",531321,2,1719925803396
"126",128,"novice-high",38,"female",4527,8,2,"I didnt have a strategy it was a bit random I assume it changed each time now Im not sure","20","It was fun","2024_07_03","15_20_05",407622,1,1719925936863
"127",129,"novice-high",30,"female",2425,9,6,"systematically go through the combinations then go with higher combinations","I think they only work about 14 of the time","na","2024_07_03","15_20_22",372469,1,1719925988950
"128",130,"expert-high",28,"female",6189,5,3,"Trying a few new combinationstesting the waters then extracting as much as possible","If you follow the statistics they work out. But if not its a risk!","na","2024_07_03","08_20_23",442639,2,1719925919956
"129",131,"novice-high",26,"male",1725,8,4,"I had no real strategy I just tried different combinations to see what worked.","Two in ten times.","","2024_07_03","15_20_31",382055,2,1719925988026
"130",132,"expert-high",41,"female",3650,8,3,"No specific strategy. Tried fusing a few times but not too many times as the chances of being correct are slim","Not that often","Was fun","2024_07_03","16_20_32",393514,3,1719925977952
"131",133,"novice-high",26,"male",5000,2,2,"I see no point in fusing as it gives little reward with too much risk. It seems easier just to extract each crystal instead.","Very rare maybe like 10 of the time.","","2024_07_03","10_20_36",327827,2,1719926048009
"132",134,"expert-high",59,"female",15798,10,2,"return the highest amount of points","most of the time","no","2024_07_03","15_20_43",398594,2,1719925983537
"133",135,"expert-high",35,"female",6750,6,4,"try to maximise points without using too many lives","can be hard to find the really big pay out fusions","","2024_07_03","15_20_45",622675,5,1719925761824
"134",136,"expert-high",28,"female",15379,9,5,"Make the biggest single crystal before extracting","depends on the type of shape - if you follow the instructions 810 times or 210 times","no","2024_07_03","15_21_14",422237,1,1719925991254
"135",137,"novice-high",24,"female",2488,10,6,"Initially i just choose any crystals. Then I started thinking that i should pick the crystals that fused together and worked in order to get higher points. ","Most of the times they never worked","no","2024_07_03","16_21_17",719156,2,1719925696966
"136",138,"expert-high",44,"male",4901,9,5,"different combos of letters to create the largest fusion. Then extract it three times","810 times","fun","2024_07_03","11_21_32",471830,4,1719925960047
"137",139,"novice-high",27,"male",4575,9,5,"I would randomly try out different shape combinations and see what worked. If a combination worked early I would repeat the combination a few times with higher value crystals. And then extract them. If combinations did not work early enough I would cut my losses and extract the default crystals so I wouldnt run out of turns. ","I was pretty random in my opinion. I did not have enough trials to notice a pattern","I was a very fun and engaging experiment. I wish I could have had more turns as I only got a hang of it towards the end and couldnt test out my strategy enough.","2024_07_03","10_20_07",756166,1,1719925589961
