"","id","condition","age","sex","total_score","engagement","difficulty","strategy","feedback","date","time","task_duration","intruction","start_time"
"31",51,"expert",35,"male",23583,7,7,"I was just trying to get a pretty big number from combining the highest likelyhood of crystals and then extracting with my remaining few turns.","nope","2024_04_31","11_16_59",429611,1,1714486128668
"32",52,"novice",34,"female",7564,9,2,"At first I tried to combine elements to gain greater rewards but I realized the risk of not producing anything was too great so I just extracted most elements.","","2024_04_31","11_17_51",476051,1,1714486134069
"33",53,"novice",33,"female",9057,10,1,"Fuse as many alien crystals as possible and quickly extract them afterward.","Thank you for the opportunity.","2024_04_31","17_25_46",1012747,2,1714486072476
"34",54,"expert",23,"male",17738,7,4,"I tried to fuse using the best recipe until I felt that it would be better to extract the crystals I had created. There is a break point after which it is more productive to use your remaining steps to extract rather than continue fusing but I didnt take the time to calculate this exactly rather relying on intuition.","-","2024_04_31","16_27_59",570278,1,1714486648341
"35",55,"novice",49,"male",11058,10,0,"trying to create a multiplier as quickly as possible before using last gew hits to build points","na","2024_04_31","16_32_09",465385,6,1714487003079
"36",56,"expert",28,"male",17914,10,6,"To first see which combinations had the best chance of succeeding when fused and then using a few turns to try and make the most valuable crystals before using the remaining turns to extract the points.","","2024_04_31","16_34_37",335227,1,1714487281107
"37",57,"expert",36,"male",13501,7,7,"Combine at least 3 to get the multiplier then fuse these for decent XP","No","2024_04_31","16_35_08",346635,1,1714487301071
"38",58,"expert",60,"female",5695,10,3,"i was just pressing to try and get new crystels","none","2024_04_31","18_43_08",774938,7,1714487352592
"39",59,"expert",40,"female",17172,5,3,"To try to get maximum points","","2024_04_31","16_45_42",379528,2,1714487902145
"40",60,"expert",23,"female",25807,10,5,"I focused on fusing the boxes with the highest possibilities.","No.","2024_04_31","17_50_12",576800,1,1714487975034
"41",61,"expert",54,"female",19296,10,4,"getting as many points as possible ","","2024_04_31","17_03_20",691783,4,1714488647927
