"","id","condition","intruction","total_score","age","sex","engagement","difficulty","strategy","feedback","date","time","task_duration","start_time"
"16",16,"novice-high",1,5976,35,"male",7,0,"I fused for about 4 turns and if I got nothing then I just used the rest of the turns to extract. If I got a fusion then I would try to fuse the new crystal once and if I got nothing then I would just use the rest of my turns to extract.","None","2024_05_24","09_21_44",254454,1716408988705
"17",17,"expert-high",4,12156,31,"female",7,5,"Work with highest possibilities","would help to have a counter to show how many turns left as I missed out on extracting a couple of times","2024_05_23","22_25_54",326479,1716409166918
"18",18,"novice-high",1,7000,51,"female",3,2,"The least risk strategy of not trying to find successful fusions. Each fusion decreased the total available points by 25 as well as wasting turns. Lower risk = guaranteed return.","","2024_05_24","09_26_54",383440,1716409170403
"19",19,"expert-high",1,11673,29,"male",9,2,"Only attempt to fuse with the shapes that have the highest known chance of success  Fuse using a crystal from the last successful fuse if possible since itll have a higher initial value  Dont attempt to fuse more than 3-4 times since youd still need to actually extract value ","I enjoyed it! ","2024_05_23","22_28_49",335731,1716409332583
"20",20,"novice-high",1,7912,34,"male",10,5,"Started by trying letters next to eachother of the same shape also tried the same letters and shape together after that just trying different combination and once i found one i would use this alongside other shapes to try to increase it","no","2024_05_23","22_25_48",541129,1716408946323
"21",21,"expert-high",2,18461,34,"female",8,3,"Trying to fuse as much as possible to extract enough to beat my last score. ","No.","2024_05_23","15_29_58",524376,1716409213447
"22",22,"novice-high",4,8150,31,"male",7,1,"I tried to get a successful fusion early on and then just extracted that created crystal. If I didnt get a successful fusion after several tries Id just extract the normal crystals. ","It was quite fun to play.","2024_05_23","22_35_10",423668,1716409625428
"23",23,"expert-high",4,7316,41,"female",7,7,"unsure","no","2024_05_23","22_37_44",464139,1716409739703
"24",24,"expert-high",4,9313,31,"female",10,5,"following the suggestions","no comment","2024_05_23","23_38_15",502327,1716409732005
"25",25,"expert-high",3,11722,56,"female",9,5,"Getting the most points","No","2024_05_23","22_41_01",706464,1716409694004
"26",26,"expert-high",5,6549,33,"female",9,7,"checking the crystals given and follow them","It was not easy to follow","2024_05_23","23_42_34",588494,1716409904883
"27",27,"novice-high",2,3750,23,"male",8,2,"try a few times to fuse if it doesnt work then extract on mass","na","2024_05_23","17_45_45",309853,1716410374230
"28",28,"expert-high",2,6150,58,"male",10,6,"Fusing two crystals successfully to maximise points when extracting.","Interesting : )","2024_05_24","09_46_53",741368,1716410011229
"29",29,"novice-high",1,6327,33,"female",9,6,"Use the first half to fuse and the second half to extract.","NA","2024_05_23","22_49_58",385990,1716410551451
"30",30,"expert-high",8,14753,33,"female",5,7,"Match shapes and hit about 500 before extracting","Instructions werent too clear","2024_05_23","22_54_59",275045,1716410963284
"31",31,"novice-high",1,2420,24,"male",10,7,"I was trying to fuse them as much as possible because of the 1.5 x reward but that would only be helpful if I got 4 or 5 in continuation otherwise I could just extract them all without fusing and max I would get is 1000.","","2024_05_23","18_14_36",413653,1716412001771
"32",32,"expert-high",4,6500,30,"female",8,7,"stay safe and mainly aviod the combinations ","no","2024_05_23","23_17_29",297060,1716412291805
"33",33,"novice-high",3,7303,43,"female",9,8,"Try a few attempts and then start to extract with a few turns left","None","2024_05_23","23_45_12",412878,1716413838332
"34",34,"novice-high",2,5644,51,"female",10,5,"I first tried to fuse vrystals then to extract for points","No","2024_05_23","23_46_24",440569,1716413883216
"35",35,"expert-high",6,4126,23,"female",10,7,"to try and combine the elements that tend to fuse well together first","No","2024_05_23","23_60_51",522982,1716414667818
"36",36,"novice-high",1,1774,49,"male",4,8,"Randomly combining until a match then trying to combine with other crystals of that shape","","2024_05_23","24_01_44",448841,1716414795048
