"","id","condition","task_type","task_id","knowledge","density","highCombo","step_id","action","item_selection","feedback","immediate_score","total_score","timestamp","start_time","task_sec"
"23",1,"novice-low","practice",3,"novice","low","triangle-diamond",3,"E","triangle-c","NA",100,250,1717504406613,1717504333247,73.366
"24",1,"novice-low","practice",3,"novice","low","triangle-diamond",4,"E","triangle-d","NA",100,350,1717504407835,1717504333247,74.588
"25",1,"novice-low","practice",3,"novice","low","triangle-diamond",5,"E","triangle-f","NA",100,450,1717504409611,1717504333247,76.364
"26",1,"novice-low","practice",3,"novice","low","triangle-diamond",6,"E","triangle-b","NA",100,550,1717504411363,1717504333247,78.116
"27",1,"novice-low","practice",3,"novice","low","triangle-diamond",7,"E","triangle-e","NA",100,650,1717504412785,1717504333247,79.538
"28",1,"novice-low","practice",3,"novice","low","triangle-diamond",8,"E","diamond-a","NA",100,750,1717504414689,1717504333247,81.442
"29",1,"novice-low","practice",3,"novice","low","triangle-diamond",9,"E","diamond-b","NA",100,850,1717504416778,1717504333247,83.531
"30",1,"novice-low","practice",3,"novice","low","triangle-diamond",10,"E","diamond-c","NA",100,950,1717504418626,1717504333247,85.379
"31",1,"novice-low","practice",4,"novice","low","triangle-diamond",1,"F","diamond-c-triangle-f","1",0,0,1717504427021,1717504333247,93.774
"32",1,"novice-low","practice",4,"novice","low","triangle-diamond",2,"E","triangle-[cf]","NA",150,150,1717504430635,1717504333247,97.388
"33",1,"novice-low","practice",4,"novice","low","triangle-diamond",3,"E","triangle-a","NA",100,250,1717504431864,1717504333247,98.617
"34",1,"novice-low","practice",4,"novice","low","triangle-diamond",4,"E","triangle-b","NA",100,350,1717504433286,1717504333247,100.039
"35",1,"novice-low","practice",4,"novice","low","triangle-diamond",5,"E","triangle-c","NA",100,450,1717504434386,1717504333247,101.139
"36",1,"novice-low","practice",4,"novice","low","triangle-diamond",6,"E","triangle-d","NA",100,550,1717504435720,1717504333247,102.473
"37",1,"novice-low","practice",4,"novice","low","triangle-diamond",7,"E","triangle-e","NA",100,650,1717504436917,1717504333247,103.67
"38",1,"novice-low","practice",4,"novice","low","triangle-diamond",8,"E","triangle-f","NA",100,750,1717504438154,1717504333247,104.907
"39",1,"novice-low","practice",4,"novice","low","triangle-diamond",9,"E","diamond-a","NA",100,850,1717504439641,1717504333247,106.394
"40",1,"novice-low","practice",4,"novice","low","triangle-diamond",10,"E","diamond-c","NA",100,950,1717504441312,1717504333247,108.065
"41",1,"novice-low","practice",5,"novice","low","diamond-diamond",1,"E","triangle-a","NA",100,100,1717504445795,1717504333247,112.548
"42",1,"novice-low","practice",5,"novice","low","diamond-diamond",2,"E","triangle-b","NA",100,200,1717504446911,1717504333247,113.664
"43",1,"novice-low","practice",5,"novice","low","diamond-diamond",3,"E","triangle-c","NA",100,300,1717504447884,1717504333247,114.637
"44",1,"novice-low","practice",5,"novice","low","diamond-diamond",4,"E","triangle-d","NA",100,400,1717504448944,1717504333247,115.697
"45",1,"novice-low","practice",5,"novice","low","diamond-diamond",5,"E","triangle-e","NA",100,500,1717504450093,1717504333247,116.846
"46",1,"novice-low","practice",5,"novice","low","diamond-diamond",6,"E","triangle-f","NA",100,600,1717504451538,1717504333247,118.291
"47",1,"novice-low","practice",5,"novice","low","diamond-diamond",7,"E","triangle-e","NA",100,700,1717504452943,1717504333247,119.696
"48",1,"novice-low","practice",5,"novice","low","diamond-diamond",8,"E","triangle-d","NA",100,800,1717504454220,1717504333247,120.973
"49",1,"novice-low","practice",5,"novice","low","diamond-diamond",9,"E","triangle-c","NA",100,900,1717504455602,1717504333247,122.355
"50",1,"novice-low","practice",5,"novice","low","diamond-diamond",10,"E","triangle-b","NA",100,1000,1717504456766,1717504333247,123.519
"51",1,"novice-low","task",1,"novice","low","triangle-triangle",1,"E","triangle-a","NA",100,100,1717504464557,1717504333247,131.31
"52",1,"novice-low","task",1,"novice","low","triangle-triangle",2,"E","triangle-b","NA",100,200,1717504465923,1717504333247,132.676
"53",1,"novice-low","task",1,"novice","low","triangle-triangle",3,"E","triangle-c","NA",100,300,1717504467520,1717504333247,134.273
"54",1,"novice-low","task",1,"novice","low","triangle-triangle",4,"E","triangle-d","NA",100,400,1717504468516,1717504333247,135.269
"55",1,"novice-low","task",1,"novice","low","triangle-triangle",5,"E","triangle-c","NA",100,500,1717504469440,1717504333247,136.193
"56",1,"novice-low","task",1,"novice","low","triangle-triangle",6,"E","triangle-c","NA",100,600,1717504471584,1717504333247,138.337
"57",1,"novice-low","task",1,"novice","low","triangle-triangle",7,"E","triangle-c","NA",100,700,1717504473303,1717504333247,140.056
"58",1,"novice-low","task",1,"novice","low","triangle-triangle",8,"E","triangle-b","NA",100,800,1717504474677,1717504333247,141.43
"59",1,"novice-low","task",1,"novice","low","triangle-triangle",9,"E","triangle-c","NA",100,900,1717504475842,1717504333247,142.595
"60",1,"novice-low","task",1,"novice","low","triangle-triangle",10,"E","triangle-c","NA",100,1000,1717504477111,1717504333247,143.864
"61",1,"novice-low","task",2,"novice","low","diamond-diamond",1,"E","diamond-f","NA",100,100,1717504482001,1717504333247,148.754
"62",1,"novice-low","task",2,"novice","low","diamond-diamond",2,"E","triangle-c","NA",100,200,1717504483070,1717504333247,149.823
"63",1,"novice-low","task",2,"novice","low","diamond-diamond",3,"F","diamond-a-triangle-f","1",0,200,1717504484975,1717504333247,151.728
"64",1,"novice-low","task",2,"novice","low","diamond-diamond",4,"E","triangle-[af]","NA",150,350,1717504487304,1717504333247,154.057
"65",1,"novice-low","task",2,"novice","low","diamond-diamond",5,"E","triangle-a","NA",100,450,1717504488710,1717504333247,155.463
"66",1,"novice-low","task",2,"novice","low","diamond-diamond",6,"E","triangle-d","NA",100,550,1717504489794,1717504333247,156.547
"67",1,"novice-low","task",2,"novice","low","diamond-diamond",7,"E","triangle-e","NA",100,650,1717504491105,1717504333247,157.858
"68",1,"novice-low","task",2,"novice","low","diamond-diamond",8,"E","triangle-f","NA",100,750,1717504492864,1717504333247,159.617
"69",1,"novice-low","task",2,"novice","low","diamond-diamond",9,"E","triangle-c","NA",100,850,1717504494149,1717504333247,160.902
"70",1,"novice-low","task",2,"novice","low","diamond-diamond",10,"E","triangle-c","NA",100,950,1717504495242,1717504333247,161.995
"71",1,"novice-low","task",3,"novice","low","triangle-diamond",1,"E","triangle-a","NA",100,100,1717504499018,1717504333247,165.771
"72",1,"novice-low","task",3,"novice","low","triangle-diamond",2,"E","triangle-b","NA",100,200,1717504500929,1717504333247,167.682
"73",1,"novice-low","task",3,"novice","low","triangle-diamond",3,"E","triangle-c","NA",100,300,1717504501933,1717504333247,168.686
"74",1,"novice-low","task",3,"novice","low","triangle-diamond",4,"E","triangle-d","NA",100,400,1717504502929,1717504333247,169.682
"75",1,"novice-low","task",3,"novice","low","triangle-diamond",5,"E","triangle-e","NA",100,500,1717504504094,1717504333247,170.847
"76",1,"novice-low","task",3,"novice","low","triangle-diamond",6,"E","triangle-d","NA",100,600,1717504505090,1717504333247,171.843
"77",1,"novice-low","task",3,"novice","low","triangle-diamond",7,"E","triangle-d","NA",100,700,1717504506150,1717504333247,172.903
"78",1,"novice-low","task",3,"novice","low","triangle-diamond",8,"E","triangle-d","NA",100,800,1717504507299,1717504333247,174.052
"79",1,"novice-low","task",3,"novice","low","triangle-diamond",9,"E","triangle-b","NA",100,900,1717504509194,1717504333247,175.947
"80",1,"novice-low","task",3,"novice","low","triangle-diamond",10,"E","triangle-c","NA",100,1000,1717504510206,1717504333247,176.959
"81",1,"novice-low","task",4,"novice","low","triangle-diamond",1,"E","triangle-a","NA",100,100,1717504514784,1717504333247,181.537
"82",1,"novice-low","task",4,"novice","low","triangle-diamond",2,"E","triangle-b","NA",100,200,1717504516029,1717504333247,182.782
"83",1,"novice-low","task",4,"novice","low","triangle-diamond",3,"E","triangle-c","NA",100,300,1717504517201,1717504333247,183.954
"84",1,"novice-low","task",4,"novice","low","triangle-diamond",4,"E","triangle-d","NA",100,400,1717504518238,1717504333247,184.991
"85",1,"novice-low","task",4,"novice","low","triangle-diamond",5,"E","triangle-e","NA",100,500,1717504519476,1717504333247,186.229
"86",1,"novice-low","task",4,"novice","low","triangle-diamond",6,"E","triangle-f","NA",100,600,1717504520777,1717504333247,187.53
"87",1,"novice-low","task",4,"novice","low","triangle-diamond",7,"E","diamond-a","NA",100,700,1717504522255,1717504333247,189.008
"88",1,"novice-low","task",4,"novice","low","triangle-diamond",8,"E","diamond-b","NA",100,800,1717504523798,1717504333247,190.551
"89",1,"novice-low","task",4,"novice","low","triangle-diamond",9,"E","triangle-c","NA",100,900,1717504525044,1717504333247,191.797
"90",1,"novice-low","task",4,"novice","low","triangle-diamond",10,"E","triangle-d","NA",100,1000,1717504526352,1717504333247,193.105
"91",1,"novice-low","task",5,"novice","low","diamond-diamond",1,"E","triangle-a","NA",100,100,1717504532055,1717504333247,198.808
"92",1,"novice-low","task",5,"novice","low","diamond-diamond",2,"E","triangle-b","NA",100,200,1717504533404,1717504333247,200.157
"93",1,"novice-low","task",5,"novice","low","diamond-diamond",3,"E","triangle-c","NA",100,300,1717504534545,1717504333247,201.298
"94",1,"novice-low","task",5,"novice","low","diamond-diamond",4,"E","triangle-d","NA",100,400,1717504535701,1717504333247,202.454
"95",1,"novice-low","task",5,"novice","low","diamond-diamond",5,"E","diamond-a","NA",100,500,1717504537131,1717504333247,203.884
"96",1,"novice-low","task",5,"novice","low","diamond-diamond",6,"E","diamond-b","NA",100,600,1717504538922,1717504333247,205.675
"97",1,"novice-low","task",5,"novice","low","diamond-diamond",7,"E","triangle-e","NA",100,700,1717504540215,1717504333247,206.968
"98",1,"novice-low","task",5,"novice","low","diamond-diamond",8,"E","triangle-c","NA",100,800,1717504541702,1717504333247,208.455
"99",1,"novice-low","task",5,"novice","low","diamond-diamond",9,"E","triangle-b","NA",100,900,1717504542939,1717504333247,209.692
"100",1,"novice-low","task",5,"novice","low","diamond-diamond",10,"E","triangle-c","NA",100,1000,1717504544762,1717504333247,211.515
"101",2,"novice-low","practice",1,"novice","low","square-circle",1,"F","square-c-square-f","0",0,0,1717504555086,1717504546485,8.601
"102",2,"novice-low","practice",1,"novice","low","square-circle",2,"F","square-e-square-f","0",0,0,1717504557233,1717504546485,10.748
"103",2,"novice-low","practice",1,"novice","low","square-circle",3,"F","square-f-square-f","0",0,0,1717504559077,1717504546485,12.592
"104",2,"novice-low","practice",1,"novice","low","square-circle",4,"F","square-d-square-e","0",0,0,1717504561881,1717504546485,15.396
"105",2,"novice-low","practice",1,"novice","low","square-circle",5,"F","square-a-square-b","1",0,0,1717504564757,1717504546485,18.272
"106",2,"novice-low","practice",1,"novice","low","square-circle",6,"E","square-[ab]","NA",150,150,1717504568163,1717504546485,21.678
"107",2,"novice-low","practice",1,"novice","low","square-circle",7,"F","circle-a-circle-b","0",0,150,1717504570335,1717504546485,23.85
"108",2,"novice-low","practice",1,"novice","low","square-circle",8,"F","circle-b-circle-c","0",0,150,1717504572795,1717504546485,26.31
"109",2,"novice-low","practice",1,"novice","low","square-circle",9,"F","circle-d-circle-e","0",0,150,1717504575951,1717504546485,29.466
"110",2,"novice-low","practice",1,"novice","low","square-circle",10,"F","circle-f-circle-f","0",0,150,1717504579913,1717504546485,33.428
"111",2,"novice-low","practice",2,"novice","low","circle-circle",1,"F","square-c-square-d","1",0,0,1717504586381,1717504546485,39.896
"112",2,"novice-low","practice",2,"novice","low","circle-circle",2,"F","square-e-square-f","0",0,0,1717504589739,1717504546485,43.254
"113",2,"novice-low","practice",2,"novice","low","circle-circle",3,"F","circle-f-square-[cd]","0",0,0,1717504593263,1717504546485,46.778
"114",2,"novice-low","practice",2,"novice","low","circle-circle",4,"F","circle-d-square-[cd]","0",0,0,1717504598373,1717504546485,51.888
"115",2,"novice-low","practice",2,"novice","low","circle-circle",5,"E","square-[cd]","NA",150,150,1717504600997,1717504546485,54.512
"116",2,"novice-low","practice",2,"novice","low","circle-circle",6,"F","square-d-square-e","0",0,150,1717504603670,1717504546485,57.185
"117",2,"novice-low","practice",2,"novice","low","circle-circle",7,"F","square-a-square-c","0",0,150,1717504607255,1717504546485,60.77
"118",2,"novice-low","practice",2,"novice","low","circle-circle",8,"E","square-c","NA",100,250,1717504610435,1717504546485,63.95
"119",2,"novice-low","practice",2,"novice","low","circle-circle",9,"F","square-b-square-f","0",0,250,1717504615747,1717504546485,69.262
"120",2,"novice-low","practice",2,"novice","low","circle-circle",10,"F","square-a-square-f","0",0,250,1717504618675,1717504546485,72.19
"121",2,"novice-low","practice",3,"novice","low","square-circle",1,"F","square-e-square-f","0",0,0,1717504623355,1717504546485,76.87
"122",2,"novice-low","practice",3,"novice","low","square-circle",2,"F","square-d-square-f","0",0,0,1717504625441,1717504546485,78.956
"123",2,"novice-low","practice",3,"novice","low","square-circle",3,"F","square-c-square-f","0",0,0,1717504627699,1717504546485,81.214
"124",2,"novice-low","practice",3,"novice","low","square-circle",4,"E","square-b","NA",100,100,1717504629495,1717504546485,83.01
"125",2,"novice-low","practice",3,"novice","low","square-circle",5,"F","circle-b-circle-d","0",0,100,1717504632425,1717504546485,85.94
"126",2,"novice-low","practice",3,"novice","low","square-circle",6,"F","circle-b-circle-c","0",0,100,1717504634339,1717504546485,87.854
"127",2,"novice-low","practice",3,"novice","low","square-circle",7,"E","circle-a","NA",100,200,1717504636363,1717504546485,89.878
"128",2,"novice-low","practice",3,"novice","low","square-circle",8,"E","square-e","NA",100,300,1717504637925,1717504546485,91.44
"129",2,"novice-low","practice",3,"novice","low","square-circle",9,"E","square-f","NA",100,400,1717504639081,1717504546485,92.596
"130",2,"novice-low","practice",3,"novice","low","square-circle",10,"E","square-c","NA",100,500,1717504640307,1717504546485,93.822
"131",2,"novice-low","practice",4,"novice","low","circle-circle",1,"E","square-a","NA",100,100,1717504645549,1717504546485,99.064
"132",2,"novice-low","practice",4,"novice","low","circle-circle",2,"E","square-b","NA",100,200,1717504646863,1717504546485,100.378
"133",2,"novice-low","practice",4,"novice","low","circle-circle",3,"E","square-c","NA",100,300,1717504647823,1717504546485,101.338
"134",2,"novice-low","practice",4,"novice","low","circle-circle",4,"E","square-d","NA",100,400,1717504648917,1717504546485,102.432
"135",2,"novice-low","practice",4,"novice","low","circle-circle",5,"E","square-e","NA",100,500,1717504649979,1717504546485,103.494
"136",2,"novice-low","practice",4,"novice","low","circle-circle",6,"E","square-f","NA",100,600,1717504650987,1717504546485,104.502
"137",2,"novice-low","practice",4,"novice","low","circle-circle",7,"E","circle-a","NA",100,700,1717504652323,1717504546485,105.838
"138",2,"novice-low","practice",4,"novice","low","circle-circle",8,"E","circle-b","NA",100,800,1717504653611,1717504546485,107.126
"139",2,"novice-low","practice",4,"novice","low","circle-circle",9,"E","circle-c","NA",100,900,1717504654683,1717504546485,108.198
"140",2,"novice-low","practice",4,"novice","low","circle-circle",10,"E","circle-d","NA",100,1000,1717504655939,1717504546485,109.454
"141",2,"novice-low","practice",5,"novice","low","square-square",1,"E","square-a","NA",100,100,1717504661447,1717504546485,114.962
"142",2,"novice-low","practice",5,"novice","low","square-square",2,"E","square-b","NA",100,200,1717504662681,1717504546485,116.196
"143",2,"novice-low","practice",5,"novice","low","square-square",3,"E","square-c","NA",100,300,1717504663759,1717504546485,117.274
"144",2,"novice-low","practice",5,"novice","low","square-square",4,"E","square-d","NA",100,400,1717504664573,1717504546485,118.088
"145",2,"novice-low","practice",5,"novice","low","square-square",5,"E","square-e","NA",100,500,1717504665979,1717504546485,119.494
"146",2,"novice-low","practice",5,"novice","low","square-square",6,"E","square-f","NA",100,600,1717504666914,1717504546485,120.429
"147",2,"novice-low","practice",5,"novice","low","square-square",7,"E","circle-a","NA",100,700,1717504667939,1717504546485,121.454
"148",2,"novice-low","practice",5,"novice","low","square-square",8,"E","circle-b","NA",100,800,1717504669095,1717504546485,122.61
"149",2,"novice-low","practice",5,"novice","low","square-square",9,"E","circle-c","NA",100,900,1717504670407,1717504546485,123.922
"150",2,"novice-low","practice",5,"novice","low","square-square",10,"E","circle-d","NA",100,1000,1717504671931,1717504546485,125.446
"151",2,"novice-low","task",1,"novice","low","square-circle",1,"F","square-d-square-f","1",0,0,1717504678673,1717504546485,132.188
"152",2,"novice-low","task",1,"novice","low","square-circle",2,"F","circle-d-circle-f","1",0,0,1717504684525,1717504546485,138.04
"153",2,"novice-low","task",1,"novice","low","square-circle",3,"F","circle-[df]-square-[df]","0",0,0,1717504686743,1717504546485,140.258
"154",2,"novice-low","task",1,"novice","low","square-circle",4,"F","circle-b-square-[df]","1",0,0,1717504690173,1717504546485,143.688
"155",2,"novice-low","task",1,"novice","low","square-circle",5,"E","square-[[df]b]","NA",225,225,1717504694219,1717504546485,147.734
"156",2,"novice-low","task",1,"novice","low","square-circle",6,"E","square-[[df]b]","NA",225,450,1717504696616,1717504546485,150.131
"157",2,"novice-low","task",1,"novice","low","square-circle",7,"E","square-[[df]b]","NA",225,675,1717504697976,1717504546485,151.491
"158",2,"novice-low","task",1,"novice","low","square-circle",8,"E","square-[[df]b]","NA",225,900,1717504699178,1717504546485,152.693
"159",2,"novice-low","task",1,"novice","low","square-circle",9,"E","square-[[df]b]","NA",225,1125,1717504700452,1717504546485,153.967
"160",2,"novice-low","task",1,"novice","low","square-circle",10,"E","square-[[df]b]","NA",225,1350,1717504702157,1717504546485,155.672
"161",2,"novice-low","task",2,"novice","low","circle-circle",1,"F","square-d-square-f","1",0,0,1717504707420,1717504546485,160.935
"162",2,"novice-low","task",2,"novice","low","circle-circle",2,"F","circle-d-circle-e","1",0,0,1717504711039,1717504546485,164.554
"163",2,"novice-low","task",2,"novice","low","circle-circle",3,"F","circle-[de]-square-[df]","0",0,0,1717504713749,1717504546485,167.264
"164",2,"novice-low","task",2,"novice","low","circle-circle",4,"F","circle-[de]-square-a","1",0,0,1717504717327,1717504546485,170.842
"165",2,"novice-low","task",2,"novice","low","circle-circle",5,"E","square-[[de]a]","NA",225,225,1717504719858,1717504546485,173.373
"166",2,"novice-low","task",2,"novice","low","circle-circle",6,"E","square-[[de]a]","NA",225,450,1717504720874,1717504546485,174.389
"167",2,"novice-low","task",2,"novice","low","circle-circle",7,"E","square-[[de]a]","NA",225,675,1717504722194,1717504546485,175.709
"168",2,"novice-low","task",2,"novice","low","circle-circle",8,"E","square-[[de]a]","NA",225,900,1717504723240,1717504546485,176.755
"169",2,"novice-low","task",2,"novice","low","circle-circle",9,"E","square-[[de]a]","NA",225,1125,1717504724694,1717504546485,178.209
"170",2,"novice-low","task",2,"novice","low","circle-circle",10,"E","square-[[de]a]","NA",225,1350,1717504726170,1717504546485,179.685
"171",2,"novice-low","task",3,"novice","low","square-circle",1,"F","square-d-square-f","0",0,0,1717504731983,1717504546485,185.498
"172",2,"novice-low","task",3,"novice","low","square-circle",2,"F","square-e-square-f","0",0,0,1717504733553,1717504546485,187.068
"173",2,"novice-low","task",3,"novice","low","square-circle",3,"F","square-c-square-d","0",0,0,1717504735451,1717504546485,188.966
"174",2,"novice-low","task",3,"novice","low","square-circle",4,"E","square-b","NA",100,100,1717504736880,1717504546485,190.395
"175",2,"novice-low","task",3,"novice","low","square-circle",5,"E","square-c","NA",100,200,1717504737536,1717504546485,191.051
"176",2,"novice-low","task",3,"novice","low","square-circle",6,"E","square-d","NA",100,300,1717504738240,1717504546485,191.755
"177",2,"novice-low","task",3,"novice","low","square-circle",7,"E","square-e","NA",100,400,1717504738934,1717504546485,192.449
"178",2,"novice-low","task",3,"novice","low","square-circle",8,"E","square-f","NA",100,500,1717504739748,1717504546485,193.263
"179",2,"novice-low","task",3,"novice","low","square-circle",9,"E","square-a","NA",100,600,1717504740786,1717504546485,194.301
"180",2,"novice-low","task",3,"novice","low","square-circle",10,"E","circle-a","NA",100,700,1717504741934,1717504546485,195.449
"181",2,"novice-low","task",4,"novice","low","circle-circle",1,"F","square-e-square-f","1",0,0,1717504746802,1717504546485,200.317
"182",2,"novice-low","task",4,"novice","low","circle-circle",2,"F","circle-d-circle-e","1",0,0,1717504749270,1717504546485,202.785
"183",2,"novice-low","task",4,"novice","low","circle-circle",3,"F","circle-[de]-square-[ef]","0",0,0,1717504751919,1717504546485,205.434
"184",2,"novice-low","task",4,"novice","low","circle-circle",4,"F","circle-b-square-[ef]","0",0,0,1717504754669,1717504546485,208.184
"185",2,"novice-low","task",4,"novice","low","circle-circle",5,"F","circle-d-square-[ef]","0",0,0,1717504757685,1717504546485,211.2
"186",2,"novice-low","task",4,"novice","low","circle-circle",6,"E","square-[ef]","NA",150,150,1717504760762,1717504546485,214.277
"187",2,"novice-low","task",4,"novice","low","circle-circle",7,"E","circle-[de]","NA",150,300,1717504762052,1717504546485,215.567
"188",2,"novice-low","task",4,"novice","low","circle-circle",8,"E","square-[ef]","NA",150,450,1717504763574,1717504546485,217.089
"189",2,"novice-low","task",4,"novice","low","circle-circle",9,"E","circle-[de]","NA",150,600,1717504765050,1717504546485,218.565
"190",2,"novice-low","task",4,"novice","low","circle-circle",10,"E","square-[ef]","NA",150,750,1717504767214,1717504546485,220.729
"191",2,"novice-low","task",5,"novice","low","square-square",1,"F","square-d-square-f","0",0,0,1717504773309,1717504546485,226.824
"192",2,"novice-low","task",5,"novice","low","square-square",2,"F","circle-e-circle-f","0",0,0,1717504775801,1717504546485,229.316
"193",2,"novice-low","task",5,"novice","low","square-square",3,"F","circle-b-circle-c","0",0,0,1717504778879,1717504546485,232.394
"194",2,"novice-low","task",5,"novice","low","square-square",4,"F","circle-c-square-c","0",0,0,1717504782207,1717504546485,235.722
"195",2,"novice-low","task",5,"novice","low","square-square",5,"E","square-f","NA",100,100,1717504784988,1717504546485,238.503
"196",2,"novice-low","task",5,"novice","low","square-square",6,"E","square-d","NA",100,200,1717504785612,1717504546485,239.127
"197",2,"novice-low","task",5,"novice","low","square-square",7,"E","square-d","NA",100,300,1717504786410,1717504546485,239.925
"198",2,"novice-low","task",5,"novice","low","square-square",8,"E","square-d","NA",100,400,1717504787042,1717504546485,240.557
"199",2,"novice-low","task",5,"novice","low","square-square",9,"E","square-d","NA",100,500,1717504787730,1717504546485,241.245
"200",2,"novice-low","task",5,"novice","low","square-square",10,"E","square-d","NA",100,600,1717504788448,1717504546485,241.963
"201",3,"novice-high","practice",1,"novice","high","triangle-circle",1,"E","triangle-c","NA",100,100,1717504612283,1717504601235,11.048
"202",3,"novice-high","practice",1,"novice","high","triangle-circle",2,"F","circle-d-circle-f","0",0,100,1717504616907,1717504601235,15.672
"203",3,"novice-high","practice",1,"novice","high","triangle-circle",3,"E","square-d","NA",100,200,1717504620267,1717504601235,19.032
"204",3,"novice-high","practice",1,"novice","high","triangle-circle",4,"F","square-e-square-f","0",0,200,1717504623142,1717504601235,21.907
"205",3,"novice-high","practice",1,"novice","high","triangle-circle",5,"F","square-c-square-f","0",0,200,1717504625810,1717504601235,24.575
"206",3,"novice-high","practice",1,"novice","high","triangle-circle",6,"E","diamond-d","NA",100,300,1717504628032,1717504601235,26.797
"207",3,"novice-high","practice",1,"novice","high","triangle-circle",7,"F","square-d-triangle-c","0",0,300,1717504631582,1717504601235,30.347
"208",3,"novice-high","practice",1,"novice","high","triangle-circle",8,"F","circle-b-circle-e","0",0,300,1717504635122,1717504601235,33.887
"209",3,"novice-high","practice",1,"novice","high","triangle-circle",9,"E","square-b","NA",100,400,1717504637790,1717504601235,36.555
"210",3,"novice-high","practice",1,"novice","high","triangle-circle",10,"E","diamond-d","NA",100,500,1717504640043,1717504601235,38.808
"211",3,"novice-high","practice",2,"novice","high","circle-diamond",1,"E","circle-a","NA",100,100,1717504644612,1717504601235,43.377
"212",3,"novice-high","practice",2,"novice","high","circle-diamond",2,"E","circle-c","NA",100,200,1717504645969,1717504601235,44.734
"213",3,"novice-high","practice",2,"novice","high","circle-diamond",3,"E","square-f","NA",100,300,1717504647408,1717504601235,46.173
"214",3,"novice-high","practice",2,"novice","high","circle-diamond",4,"E","circle-e","NA",100,400,1717504648959,1717504601235,47.724
"215",3,"novice-high","practice",2,"novice","high","circle-diamond",5,"E","circle-b","NA",100,500,1717504651553,1717504601235,50.318
"216",3,"novice-high","practice",2,"novice","high","circle-diamond",6,"E","square-e","NA",100,600,1717504652860,1717504601235,51.625
"217",3,"novice-high","practice",2,"novice","high","circle-diamond",7,"E","square-e","NA",100,700,1717504654147,1717504601235,52.912
"218",3,"novice-high","practice",2,"novice","high","circle-diamond",8,"E","circle-a","NA",100,800,1717504655870,1717504601235,54.635
"219",3,"novice-high","practice",2,"novice","high","circle-diamond",9,"E","circle-a","NA",100,900,1717504657487,1717504601235,56.252
"220",3,"novice-high","practice",2,"novice","high","circle-diamond",10,"E","circle-b","NA",100,1000,1717504659376,1717504601235,58.141
