"","id","condition","intruction","total_score","age","sex","engagement","difficulty","strategy","feedback","date","time","task_duration","start_time"
"38",38,"novice-high",1,6688,28,"male",5,8,"Tried to find early combinations to maximise extraction but if I didnt hit anything (I couldnt figure out if valid crystal combinations were random or followed a pattern) then I would just try to extract as much as I coulc.","Surprisingly fun. Not sure if it was totally random or not but if I had more practice attempts I think I would have had enjoyed it more.","2024_06_06","05_15_50",391158,1717524498799
"39",39,"expert-high",1,14563,23,"male",9,2,"Keep fusing the crystals with the highest success rate and then the last bar will be used for extraction","no","2024_06_05","20_16_44",821541,1717524121519
"40",40,"expert-high",2,11344,28,"female",7,5,"Multiply the score by fusing as much as possible then extract on the last go","na","2024_06_05","20_19_02",573014,1717524508959
"41",41,"novice-high",6,5200,50,"male",8,5,"Try fusing a pair and hope it works. If so repeatedly feed the resulting crystal into the machine. If it didnt fuse try 2 other pairs - if neither work assume this round is one where nothing works and instead just extract single crystals.","I had to make multiple attempts to pass the test page (and in the end ticked the radio buttons semi-randomly). I wonder if you have sat a few people in front of you and watched them attempt the test and seen the results. The instructions (and test questions) may not be as clear to a random person as they are to the person that wrote them. E.g. in the instructions I think there may be an inconsistency at one point between the concept of collecting crystals and points.  I didnt understand why Im allowed to have the machine process a single new crystal multiple times (I assumed that wouldnt be allowed) and therefore didnt see the benefit in wasting clicks on additional new crystals as there was no evidence any would offer more than 150 points.","2024_06_05","21_21_15",915724,1717524299249
"42",42,"novice-high",2,6605,27,"male",8,7,"I would hope to be lucky in my first few turns with fusing different crystals. If this worked I would try to make as many combinationsfusions as possible to get the highest score. If after a few attempts I was having no luck I would extract my highest crystal multiple times to guarantee a score.","It was very engaging and I would love to know if there is any technique or skill to this game or if it is entirely based on luck and random chance.","2024_06_05","20_22_55",388314,1717524926605
"43",43,"expert-high",5,8440,41,"male",8,8,"I would fuse two crystals then extract the fused crystal once or twice then fuse the crystal with other combinations several times then repeatedly extracted them.   ","No.","2024_06_05","20_24_32",576541,1717524835174
"44",44,"expert-low",1,9347,63,"male",8,4,"Get a higher value crystal and then keep extracting it.","It was quite enjoyable.","2024_06_05","20_24_23",732073,1717524670616
"45",45,"expert-high",4,4800,29,"male",5,6,"Playing it safe by going for the fuse combination that;s most likely to succeed.","Moderately fun game :)","2024_06_05","20_26_02",606391,1717524895290
"46",46,"expert-high",1,2200,30,"female",10,6,"I Prioritized Fusions to Increase Crystal Value","No","2024_06_05","21_34_48",841169,1717525186590
"47",47,"novice-low",3,3865,46,"female",9,7,"try and get 1 double done and then once i can get a couple of trebles done extract them before the lives are gone","very engaging and fun Ive not done anything like this for a long time! :):)","2024_06_05","20_37_57",506396,1717525710353
"48",48,"novice-high",3,1558,20,"female",8,7,"I tried to keep track of what combinations did not work and I tried to combine combinations to reach higher scores.","I enjoyed the game.","2024_06_05","14_38_07",431496,1717525794511
"49",49,"expert-low",7,7095,39,"female",8,4,"Once I had found a crystal with over 200 points extract as much as possible.","none.","2024_06_05","20_39_37",581504,1717525734706
"50",50,"novice-high",3,3900,37,"male",10,7,"Trial and error and learning from the machine","Great study","2024_06_05","21_40_36",860657,1717525515092
"51",51,"expert-low",9,6959,50,"female",7,4,"na","na","2024_06_05","20_43_14",463969,1717526069303
"52",52,"novice-low",3,5775,31,"female",3,6,"Tried three basic combinations (2x round batch 2x triangle batch different batches) and built from there","","2024_06_05","13_44_49",337928,1717526290732
"53",53,"expert-low",3,14211,24,"female",10,5,"I tried to combine the 2 previous highest crystals to create more to extract","","2024_06_05","15_48_42",339032,1717526522135
"54",54,"expert-high",2,11040,40,"female",8,5,"get the correct combination quickly","it was fun","2024_06_05","20_48_59",521576,1717526357350
"55",55,"expert-high",1,9708,46,"male",5,8,"Just trying anything and going with what works counting down in my head how many tries. ","Instructions not very clear. Took me a lot of of re-reading. ","2024_06_05","15_57_48",494415,1717526912989
"56",56,"expert-low",2,5667,50,"female",7,4,"to try and combine the crystals to get the highest outcome.","","2024_06_05","21_01_02",802478,1717526799223
"57",57,"expert-low",15,2900,33,"male",8,9,"Just brain work no much strategies","No","2024_06_05","21_05_49",463108,1717527425079
"58",58,"novice-low",1,7064,27,"female",8,2,"finding the components that can fuse together and great the greatest yield","na","2024_06_05","14_17_43",369722,1717528232618
"59",59,"expert-high",1,12337,26,"male",6,5,"if I was able to create a combination that was worth 500 energy points I would cash out all remaining clicks.","Interesting experiment I do not think I was optimal though. Especially when the two shapes that had a 810 chance were the same shape.","2024_06_05","17_24_18",841897,1717528155861
"60",60,"expert-low",2,7945,40,"female",10,7," to try to fuse as many as possible to get the best score","none","2024_06_05","21_52_60",556472,1717530163488
"61",61,"novice-high",1,3425,32,"male",2,2,"Tried common fuses if they failed just extract.","Too random.","2024_06_05","21_60_22",444614,1717530717375
